sep=;
RegNumber;Comp;Pos;Lap;LapTime;RaceTime;LapStat;SessNumber;Driver
1;MKA2;8;52;31256;1785928;;2;Сугробов Константин
3;CEAT;2;55;32552;1800284;;2;Камарная Елена
6;CRAZYTRAIN;3;55;89463;1807941;PitUser;1;Шамаев Дмитрий
2;PATYSSON;4;55;31317;1809541;;2;Рубасов Давид
7;PHOENIX RT;5;55;31933;1811613;;2;Маркус Михаил
5;RAVE STORM;6;54;31866;1812692;Fight;2;Иван Степанов
8;MKA;7;53;32667;1813084;LongLight;2;Смирнов Валерий
4;MKA GIRLS+1;1;56;31509;1816677;;2;Магуайр Зоя
1;MKA2;8;53;31173;1817101;;2;Сугробов Константин
3;CEAT;2;56;31893;1832177;;2;Камарная Елена
6;CRAZYTRAIN;3;56;32563;1840504;;2;Турецкий Михаил
2;PATYSSON;4;56;31410;1840951;;2;Рубасов Давид
7;PHOENIX RT;5;56;31710;1843323;;2;Маркус Михаил
5;RAVE STORM;6;55;31547;1844239;;2;Иван Степанов
8;MKA;7;54;31697;1844781;;2;Смирнов Валерий
4;MKA GIRLS+1;1;57;31524;1848201;;2;Магуайр Зоя
1;MKA2;8;54;31357;1848458;;2;Сугробов Константин
3;CEAT;2;57;31656;1863833;;2;Камарная Елена
6;CRAZYTRAIN;3;57;32262;1872766;;2;Турецкий Михаил
2;PATYSSON;4;57;31996;1872947;LongLight;2;Рубасов Давид
7;PHOENIX RT;5;57;31646;1874969;;2;Маркус Михаил
5;RAVE STORM;6;56;31354;1875593;;2;Иван Степанов
8;MKA;7;55;31501;1876282;;2;Смирнов Валерий
4;MKA GIRLS+1;1;58;31429;1879630;;2;Магуайр Зоя
1;MKA2;8;55;31361;1879819;;2;Сугробов Константин
3;CEAT;2;58;31705;1895538;;2;Камарная Елена
2;PATYSSON;3;58;31697;1904644;;2;Рубасов Давид
6;CRAZYTRAIN;4;58;32890;1905656;LongLight;2;Турецкий Михаил
7;PHOENIX RT;5;58;31668;1906637;;2;Маркус Михаил
5;RAVE STORM;6;57;31300;1906893;;2;Иван Степанов
8;MKA;7;56;31678;1907960;;2;Смирнов Валерий
4;MKA GIRLS+1;1;59;31328;1910958;;2;Магуайр Зоя
1;MKA2;8;56;31370;1911189;;2;Сугробов Константин
3;CEAT;2;59;31937;1927475;;2;Камарная Елена
2;PATYSSON;3;59;31308;1935952;;2;Рубасов Давид
6;CRAZYTRAIN;4;59;31785;1937441;;2;Турецкий Михаил
5;RAVE STORM;6;58;31934;1938827;LongLight;2;Иван Степанов
7;PHOENIX RT;5;59;33159;1939796;Fight;2;Маркус Михаил
8;MKA;7;57;32131;1940091;LongLight;2;Смирнов Валерий
1;MKA2;8;57;31359;1942548;;2;Сугробов Константин
3;CEAT;1;60;31814;1959289;;2;Камарная Елена
2;PATYSSON;2;60;31347;1967299;;2;Рубасов Давид
6;CRAZYTRAIN;3;60;31840;1969281;;2;Турецкий Михаил
4;MKA GIRLS+1;4;60;58465;1969423;StopGo;2;Магуайр Зоя
5;RAVE STORM;6;59;31363;1970190;;2;Иван Степанов
7;PHOENIX RT;5;60;31446;1971242;;2;Маркус Михаил
8;MKA;7;58;31698;1971789;;2;Смирнов Валерий
1;MKA2;8;58;31375;1973923;;2;Сугробов Константин
3;CEAT;1;61;31814;1991103;;2;Камарная Елена
2;PATYSSON;2;61;31378;1998677;;2;Рубасов Давид
5;RAVE STORM;6;60;31670;2001860;Fight;2;Иван Степанов
4;MKA GIRLS+1;3;61;33098;2002521;LongLight;2;Магуайр Зоя
7;PHOENIX RT;4;61;31697;2002939;;2;Маркус Михаил
8;MKA;7;59;31650;2003439;;2;Смирнов Валерий
1;MKA2;8;59;31376;2005299;;2;Сугробов Константин
3;CEAT;1;62;31892;2022995;;2;Камарная Елена
2;PATYSSON;2;62;31405;2030082;;2;Рубасов Давид
6;CRAZYTRAIN;5;61;61513;2030794;StopGo;2;Турецкий Михаил
5;RAVE STORM;6;61;31169;2033029;;2;Иван Степанов
4;MKA GIRLS+1;3;62;31713;2034234;;2;Магуайр Зоя
7;PHOENIX RT;4;62;31672;2034611;;2;Маркус Михаил
8;MKA;7;60;31666;2035105;;2;Смирнов Валерий
1;MKA2;8;60;31469;2036768;;2;Сугробов Константин
3;CEAT;1;63;31921;2054916;;2;Камарная Елена
2;PATYSSON;2;63;31201;2061283;;2;Рубасов Давид
6;CRAZYTRAIN;5;62;32113;2062907;;2;Турецкий Михаил
5;RAVE STORM;6;62;31058;2064087;;2;Иван Степанов
4;MKA GIRLS+1;3;63;31404;2065638;;2;Магуайр Зоя
7;PHOENIX RT;4;63;31575;2066186;;2;Маркус Михаил
8;MKA;7;61;31516;2066621;;2;Смирнов Валерий
1;MKA2;8;61;31291;2068059;;2;Сугробов Константин
3;CEAT;1;64;31755;2086671;;2;Камарная Елена
2;PATYSSON;2;64;31254;2092537;;2;Рубасов Давид
6;CRAZYTRAIN;5;63;32046;2094953;;2;Турецкий Михаил
5;RAVE STORM;6;63;31244;2095331;;2;Иван Степанов
4;MKA GIRLS+1;3;64;31446;2097084;;2;Магуайр Зоя
7;PHOENIX RT;4;64;31479;2097665;;2;Маркус Михаил
8;MKA;7;62;31520;2098141;;2;Смирнов Валерий
1;MKA2;8;62;31212;2099271;;2;Сугробов Константин
3;CEAT;1;65;31779;2118450;;2;Камарная Елена
2;PATYSSON;2;65;31165;2123702;;2;Рубасов Давид
5;RAVE STORM;5;64;31345;2126676;;2;Иван Степанов
6;CRAZYTRAIN;6;64;32797;2127750;LongLight;2;Турецкий Михаил
4;MKA GIRLS+1;3;65;31444;2128528;;2;Магуайр Зоя
7;PHOENIX RT;4;65;31560;2129225;;2;Маркус Михаил
8;MKA;7;63;31986;2130127;LongLight;2;Смирнов Валерий
1;MKA2;8;63;31221;2130492;;2;Сугробов Константин
3;CEAT;1;66;31540;2149990;;2;Камарная Елена
2;PATYSSON;2;66;31193;2154895;;2;Рубасов Давид
5;RAVE STORM;5;65;31262;2157938;;2;Иван Степанов
6;CRAZYTRAIN;6;65;31862;2159612;;2;Турецкий Михаил
4;MKA GIRLS+1;3;66;31392;2159920;;2;Магуайр Зоя
7;PHOENIX RT;4;66;31763;2160988;;2;Маркус Михаил
8;MKA;7;64;32299;2162426;LongLight;2;Смирнов Валерий
3;CEAT;1;67;31596;2181586;;2;Камарная Елена
2;PATYSSON;2;67;31190;2186085;;2;Рубасов Давид
5;RAVE STORM;5;66;31077;2189015;;2;Иван Степанов
4;MKA GIRLS+1;3;67;31545;2191465;;2;Магуайр Зоя
6;CRAZYTRAIN;6;66;32792;2192404;LongLight;2;Турецкий Михаил
7;PHOENIX RT;4;67;31614;2192602;;2;Маркус Михаил
1;MKA2;8;64;65497;2195989;PitUser;2;Сугробов Константин
3;CEAT;1;68;31875;2213461;;2;Камарная Елена
2;PATYSSON;2;68;31310;2217395;;2;Рубасов Давид
5;RAVE STORM;5;67;31166;2220181;;2;Иван Степанов
4;MKA GIRLS+1;3;68;31229;2222694;;2;Магуайр Зоя
7;PHOENIX RT;4;68;32012;2224614;Fight;2;Маркус Михаил
6;CRAZYTRAIN;6;67;33104;2225508;LongLight;2;Турецкий Михаил
8;MKA;7;65;64831;2227257;PitUser;2;Смирнов Валерий
1;MKA2;8;65;32356;2228345;;3;Сидельников Андрей
3;CEAT;1;69;31572;2245033;;2;Камарная Елена
2;PATYSSON;2;69;31388;2248783;;2;Рубасов Давид
5;RAVE STORM;5;68;31027;2251208;;2;Иван Степанов
4;MKA GIRLS+1;3;69;31274;2253968;;2;Магуайр Зоя
7;PHOENIX RT;4;69;31440;2256054;;2;Маркус Михаил
6;CRAZYTRAIN;6;68;31823;2257331;;2;Турецкий Михаил
8;MKA;7;66;31418;2258675;;3;Вяльсов Михаил
1;MKA2;8;66;31651;2259996;;3;Сидельников Андрей
2;PATYSSON;1;70;31303;2280086;;2;Рубасов Давид
5;RAVE STORM;5;69;31098;2282306;;2;Иван Степанов
4;MKA GIRLS+1;2;70;31249;2285217;;2;Магуайр Зоя
7;PHOENIX RT;3;70;31452;2287506;;2;Маркус Михаил
6;CRAZYTRAIN;6;69;31822;2289153;;2;Турецкий Михаил
8;MKA;7;67;31130;2289805;;3;Вяльсов Михаил
1;MKA2;8;67;31532;2291528;;3;Сидельников Андрей
2;PATYSSON;1;71;31410;2311496;;2;Рубасов Давид
5;RAVE STORM;4;70;31309;2313615;;2;Иван Степанов
3;CEAT;5;70;71003;2316036;PitUser;2;Камарная Елена
4;MKA GIRLS+1;2;71;31551;2316768;;2;Магуайр Зоя
7;PHOENIX RT;3;71;31528;2319034;;2;Маркус Михаил
8;MKA;7;68;31313;2321118;;3;Вяльсов Михаил
6;CRAZYTRAIN;6;70;32566;2321719;LongLight;2;Турецкий Михаил
1;MKA2;8;68;31871;2323399;;3;Сидельников Андрей
2;PATYSSON;1;72;31247;2342743;;2;Рубасов Давид
5;RAVE STORM;4;71;31106;2344721;;2;Иван Степанов
3;CEAT;5;71;32202;2348238;LongLight;3;Толкачев Максим
4;MKA GIRLS+1;2;72;31913;2348681;LongLight;2;Магуайр Зоя
7;PHOENIX RT;3;72;31379;2350413;;2;Маркус Михаил
8;MKA;7;69;31147;2352265;;3;Вяльсов Михаил
1;MKA2;8;69;31668;2355067;;3;Сидельников Андрей
2;PATYSSON;1;73;31186;2373929;;2;Рубасов Давид
5;RAVE STORM;4;72;31041;2375762;;2;Иван Степанов
4;MKA GIRLS+1;2;73;31546;2380227;;2;Магуайр Зоя
3;CEAT;5;72;32467;2380705;;3;Толкачев Максим
7;PHOENIX RT;3;73;31381;2381794;;2;Маркус Михаил
8;MKA;7;70;31070;2383335;;3;Вяльсов Михаил
1;MKA2;8;70;31544;2386611;;3;Сидельников Андрей
6;CRAZYTRAIN;6;71;67529;2389248;PitUser;2;Турецкий Михаил
2;PATYSSON;1;74;31312;2405241;;2;Рубасов Давид
5;RAVE STORM;4;73;31176;2406938;;2;Иван Степанов
4;MKA GIRLS+1;2;74;31282;2411509;;2;Магуайр Зоя
7;PHOENIX RT;3;74;31369;2413163;;2;Маркус Михаил
8;MKA;7;71;31063;2414398;;3;Вяльсов Михаил
1;MKA2;8;71;31553;2418164;;3;Сидельников Андрей
6;CRAZYTRAIN;6;72;33314;2422562;;3;Мосесов Хачатур
3;CEAT;5;73;49456;2430161;StopGo;3;Толкачев Максим
2;PATYSSON;1;75;31172;2436413;;2;Рубасов Давид
5;RAVE STORM;4;74;31117;2438055;;2;Иван Степанов
4;MKA GIRLS+1;2;75;31419;2442928;;2;Магуайр Зоя
7;PHOENIX RT;3;75;31265;2444428;;2;Маркус Михаил
8;MKA;7;72;31203;2445601;;3;Вяльсов Михаил
1;MKA2;8;72;31225;2449389;;3;Сидельников Андрей
3;CEAT;5;74;32001;2462162;;3;Толкачев Максим
2;PATYSSON;1;76;31245;2467658;;2;Рубасов Давид
5;RAVE STORM;4;75;31167;2469222;;2;Иван Степанов
6;CRAZYTRAIN;6;73;49933;2472495;StopGo;3;Мосесов Хачатур
4;MKA GIRLS+1;2;76;31316;2474244;;2;Магуайр Зоя
7;PHOENIX RT;3;76;31467;2475895;;2;Маркус Михаил
8;MKA;7;73;30980;2476581;;3;Вяльсов Михаил
1;MKA2;8;73;31588;2480977;;3;Сидельников Андрей
3;CEAT;5;75;31656;2493818;;3;Толкачев Максим
2;PATYSSON;1;77;31432;2499090;;2;Рубасов Давид
5;RAVE STORM;4;76;31152;2500374;;2;Иван Степанов
6;CRAZYTRAIN;6;74;31945;2504440;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;77;31581;2505825;;2;Магуайр Зоя
7;PHOENIX RT;3;77;31214;2507109;;2;Маркус Михаил
8;MKA;7;74;31010;2507591;;3;Вяльсов Михаил
1;MKA2;8;74;31368;2512345;;3;Сидельников Андрей
3;CEAT;5;76;31535;2525353;;3;Толкачев Максим
2;PATYSSON;1;78;31197;2530287;;2;Рубасов Давид
5;RAVE STORM;4;77;31398;2531772;Fight;2;Иван Степанов
6;CRAZYTRAIN;6;75;32142;2536582;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;78;31533;2537358;;2;Магуайр Зоя
8;MKA;7;75;31333;2538924;;3;Вяльсов Михаил
7;PHOENIX RT;3;78;32311;2539420;Fight;2;Маркус Михаил
1;MKA2;8;75;31458;2543803;;3;Сидельников Андрей
3;CEAT;5;77;31699;2557052;;3;Толкачев Максим
2;PATYSSON;1;79;31282;2561569;;2;Рубасов Давид
5;RAVE STORM;4;78;31221;2562993;;2;Иван Степанов
6;CRAZYTRAIN;6;76;31735;2568317;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;79;31586;2568944;;2;Магуайр Зоя
8;MKA;7;76;31039;2569963;;3;Вяльсов Михаил
7;PHOENIX RT;3;79;31503;2570923;;2;Маркус Михаил
1;MKA2;8;76;31622;2575425;;3;Сидельников Андрей
3;CEAT;5;78;31503;2588555;;3;Толкачев Максим
2;PATYSSON;1;80;31172;2592741;;2;Рубасов Давид
5;RAVE STORM;4;79;31150;2594143;;2;Иван Степанов
6;CRAZYTRAIN;6;77;32047;2600364;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;80;31725;2600669;;2;Магуайр Зоя
8;MKA;7;77;30970;2600933;;3;Вяльсов Михаил
7;PHOENIX RT;3;80;31312;2602235;;2;Маркус Михаил
1;MKA2;8;77;31225;2606650;;3;Сидельников Андрей
3;CEAT;5;79;31398;2619953;;3;Толкачев Максим
2;PATYSSON;1;81;31167;2623908;;2;Рубасов Давид
5;RAVE STORM;4;80;31090;2625233;;2;Иван Степанов
8;MKA;6;78;31861;2632794;LongLight;3;Вяльсов Михаил
6;CRAZYTRAIN;7;78;33116;2633480;LongLight;3;Мосесов Хачатур
4;MKA GIRLS+1;2;81;33739;2634408;LongLight;2;Магуайр Зоя
1;MKA2;8;78;31365;2638015;;3;Сидельников Андрей
7;PHOENIX RT;3;81;44430;2646665;Fight;2;Маркус Михаил
3;CEAT;5;80;31504;2651457;;3;Толкачев Максим
2;PATYSSON;1;82;31202;2655110;;2;Рубасов Давид
5;RAVE STORM;4;81;31245;2656478;;2;Иван Степанов
8;MKA;6;79;30975;2663769;;3;Вяльсов Михаил
6;CRAZYTRAIN;7;79;31722;2665202;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;82;31699;2666107;;2;Магуайр Зоя
1;MKA2;8;79;31326;2669341;;3;Сидельников Андрей
7;PHOENIX RT;3;82;31592;2678257;;2;Маркус Михаил
3;CEAT;5;81;31820;2683277;;3;Толкачев Максим
2;PATYSSON;1;83;31268;2686378;;2;Рубасов Давид
5;RAVE STORM;4;82;31152;2687630;;2;Иван Степанов
8;MKA;6;80;30966;2694735;;3;Вяльсов Михаил
6;CRAZYTRAIN;7;80;31594;2696796;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;83;31786;2697893;;2;Магуайр Зоя
1;MKA2;8;80;31322;2700663;;3;Сидельников Андрей
7;PHOENIX RT;3;83;31470;2709727;;2;Маркус Михаил
3;CEAT;5;82;31379;2714656;;3;Толкачев Максим
2;PATYSSON;1;84;31144;2717522;;2;Рубасов Давид
5;RAVE STORM;4;83;31054;2718684;;2;Иван Степанов
8;MKA;6;81;30918;2725653;;3;Вяльсов Михаил
4;MKA GIRLS+1;2;84;31736;2729629;;2;Магуайр Зоя
1;MKA2;7;81;31223;2731886;;3;Сидельников Андрей
7;PHOENIX RT;3;84;31344;2741071;;2;Маркус Михаил
3;CEAT;5;83;31462;2746118;;3;Толкачев Максим
2;PATYSSON;1;85;31117;2748639;;2;Рубасов Давид
5;RAVE STORM;4;84;31214;2749898;;2;Иван Степанов
6;CRAZYTRAIN;8;81;59320;2756116;StopGo;3;Мосесов Хачатур
8;MKA;6;82;31015;2756668;;3;Вяльсов Михаил
4;MKA GIRLS+1;2;85;31612;2761241;;2;Магуайр Зоя
1;MKA2;7;82;31299;2763185;;3;Сидельников Андрей
7;PHOENIX RT;3;85;31294;2772365;;2;Маркус Михаил
3;CEAT;5;84;31449;2777567;;3;Толкачев Максим
2;PATYSSON;1;86;31296;2779935;;2;Рубасов Давид
5;RAVE STORM;4;85;30936;2780834;;2;Иван Степанов
8;MKA;6;83;31277;2787945;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;82;32305;2788421;LongLight;3;Мосесов Хачатур
4;MKA GIRLS+1;2;86;31424;2792665;;2;Магуайр Зоя
1;MKA2;7;83;31394;2794579;;3;Сидельников Андрей
7;PHOENIX RT;3;86;31389;2803754;;2;Маркус Михаил
3;CEAT;5;85;31610;2809177;;3;Толкачев Максим
2;PATYSSON;1;87;31114;2811049;;2;Рубасов Давид
5;RAVE STORM;4;86;31097;2811931;;2;Иван Степанов
8;MKA;6;84;30901;2818846;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;83;31752;2820173;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;87;31570;2824235;;2;Магуайр Зоя
1;MKA2;7;84;31319;2825898;;3;Сидельников Андрей
7;PHOENIX RT;3;87;31310;2835064;;2;Маркус Михаил
3;CEAT;5;86;31663;2840840;;3;Толкачев Максим
2;PATYSSON;1;88;31099;2842148;;2;Рубасов Давид
5;RAVE STORM;4;87;31078;2843009;;2;Иван Степанов
8;MKA;6;85;30938;2849784;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;84;31602;2851775;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;88;31651;2855886;;2;Магуайр Зоя
1;MKA2;7;85;31224;2857122;;3;Сидельников Андрей
7;PHOENIX RT;3;88;31469;2866533;;2;Маркус Михаил
3;CEAT;5;87;31520;2872360;;3;Толкачев Максим
2;PATYSSON;1;89;31135;2873283;;2;Рубасов Давид
5;RAVE STORM;4;88;31239;2874248;;2;Иван Степанов
8;MKA;6;86;31070;2880854;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;85;31698;2883473;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;89;31377;2887263;;2;Магуайр Зоя
1;MKA2;7;86;31422;2888544;;3;Сидельников Андрей
7;PHOENIX RT;3;89;31285;2897818;;2;Маркус Михаил
3;CEAT;5;88;31486;2903846;;3;Толкачев Максим
2;PATYSSON;1;90;31285;2904568;;2;Рубасов Давид
5;RAVE STORM;4;89;30822;2905070;;2;Иван Степанов
8;MKA;6;87;30976;2911830;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;86;31476;2914949;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;90;31454;2918717;;2;Магуайр Зоя
1;MKA2;7;87;31330;2919874;;3;Сидельников Андрей
7;PHOENIX RT;3;90;31176;2928994;;2;Маркус Михаил
3;CEAT;5;89;31372;2935218;;3;Толкачев Максим
2;PATYSSON;1;91;31156;2935724;;2;Рубасов Давид
5;RAVE STORM;4;90;31050;2936120;;2;Иван Степанов
8;MKA;6;88;30988;2942818;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;87;31603;2946552;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;91;31464;2950181;;2;Магуайр Зоя
1;MKA2;7;88;31266;2951140;;3;Сидельников Андрей
7;PHOENIX RT;3;91;31227;2960221;;2;Маркус Михаил
3;CEAT;5;90;31334;2966552;;3;Толкачев Максим
5;RAVE STORM;4;91;31197;2967317;;2;Иван Степанов
2;PATYSSON;1;92;31906;2967630;LongLight;2;Рубасов Давид
8;MKA;6;89;30910;2973728;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;88;31370;2977922;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;92;31467;2981648;;2;Магуайр Зоя
1;MKA2;7;89;31235;2982375;;3;Сидельников Андрей
7;PHOENIX RT;3;92;31376;2991597;;2;Маркус Михаил
3;CEAT;5;91;31691;2998243;;3;Толкачев Максим
5;RAVE STORM;4;92;31153;2998470;;2;Иван Степанов
2;PATYSSON;1;93;31213;2998843;;2;Рубасов Давид
8;MKA;6;90;30895;3004623;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;89;31406;3009328;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;93;31436;3013084;;2;Магуайр Зоя
1;MKA2;7;90;31404;3013779;;3;Сидельников Андрей
7;PHOENIX RT;3;93;31369;3022966;;2;Маркус Михаил
5;RAVE STORM;4;93;31860;3030330;LongLight;2;Иван Степанов
2;PATYSSON;1;94;31813;3030656;LongLight;2;Рубасов Давид
3;CEAT;5;92;32925;3031168;LongLight;3;Толкачев Максим
8;MKA;6;91;30902;3035525;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;90;31295;3040623;;3;Мосесов Хачатур
4;MKA GIRLS+1;2;94;31714;3044798;;2;Магуайр Зоя
1;MKA2;7;91;31259;3045038;;3;Сидельников Андрей
7;PHOENIX RT;3;94;31055;3054021;;2;Маркус Михаил
5;RAVE STORM;4;94;31228;3061558;;2;Иван Степанов
2;PATYSSON;1;95;31344;3062000;;2;Рубасов Давид
3;CEAT;5;93;31403;3062571;;3;Толкачев Максим
8;MKA;6;92;30913;3066438;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;91;31767;3072390;LongLight;3;Мосесов Хачатур
1;MKA2;7;92;31498;3076536;;3;Сидельников Андрей
4;MKA GIRLS+1;2;95;32374;3077172;LongLight;2;Магуайр Зоя
7;PHOENIX RT;3;95;31444;3085465;;2;Маркус Михаил
5;RAVE STORM;4;95;30973;3092531;;2;Иван Степанов
2;PATYSSON;1;96;31107;3093107;;2;Рубасов Давид
3;CEAT;5;94;31218;3093789;;3;Толкачев Максим
8;MKA;6;93;30783;3097221;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;92;31191;3103581;;3;Мосесов Хачатур
1;MKA2;7;93;31328;3107864;;3;Сидельников Андрей
4;MKA GIRLS+1;2;96;31549;3108721;;2;Магуайр Зоя
7;PHOENIX RT;3;96;31745;3117210;Fight;2;Маркус Михаил
5;RAVE STORM;4;96;31140;3123671;;2;Иван Степанов
2;PATYSSON;1;97;31153;3124260;;2;Рубасов Давид
3;CEAT;5;95;31229;3125018;;3;Толкачев Максим
8;MKA;6;94;30827;3128048;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;93;31425;3135006;;3;Мосесов Хачатур
1;MKA2;7;94;31121;3138985;;3;Сидельников Андрей
4;MKA GIRLS+1;2;97;31401;3140122;;2;Магуайр Зоя
7;PHOENIX RT;3;97;31268;3148478;;2;Маркус Михаил
5;RAVE STORM;4;97;30891;3154562;;2;Иван Степанов
2;PATYSSON;1;98;31153;3155413;;2;Рубасов Давид
3;CEAT;5;96;31307;3156325;;3;Толкачев Максим
8;MKA;6;95;30943;3158991;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;94;31561;3166567;;3;Мосесов Хачатур
1;MKA2;7;95;31286;3170271;;3;Сидельников Андрей
4;MKA GIRLS+1;2;98;31825;3171947;;2;Магуайр Зоя
7;PHOENIX RT;3;98;31541;3180019;;2;Маркус Михаил
5;RAVE STORM;4;98;30840;3185402;;2;Иван Степанов
2;PATYSSON;1;99;31057;3186470;;2;Рубасов Давид
3;CEAT;5;97;31276;3187601;;3;Толкачев Максим
8;MKA;6;96;30866;3189857;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;95;31396;3197963;;3;Мосесов Хачатур
1;MKA2;7;96;31227;3201498;;3;Сидельников Андрей
4;MKA GIRLS+1;2;99;31438;3203385;;2;Магуайр Зоя
7;PHOENIX RT;3;99;31354;3211373;;2;Маркус Михаил
5;RAVE STORM;4;99;31030;3216432;;2;Иван Степанов
2;PATYSSON;1;100;31297;3217767;;2;Рубасов Давид
3;CEAT;5;98;31187;3218788;;3;Толкачев Максим
8;MKA;6;97;30916;3220773;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;96;31304;3229267;;3;Мосесов Хачатур
1;MKA2;7;97;31166;3232664;;3;Сидельников Андрей
7;PHOENIX RT;2;100;31389;3242762;;2;Маркус Михаил
5;RAVE STORM;3;100;30923;3247355;;2;Иван Степанов
2;PATYSSON;1;101;31112;3248879;;2;Рубасов Давид
3;CEAT;5;99;31383;3250171;;3;Толкачев Максим
8;MKA;6;98;31020;3251793;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;97;31263;3260530;;3;Мосесов Хачатур
1;MKA2;7;98;31087;3263751;;3;Сидельников Андрей
4;MKA GIRLS+1;4;100;66459;3269844;PitUser;2;Магуайр Зоя
7;PHOENIX RT;2;101;31285;3274047;;2;Маркус Михаил
5;RAVE STORM;3;101;31007;3278362;;2;Иван Степанов
2;PATYSSON;1;102;31319;3280198;;2;Рубасов Давид
3;CEAT;5;100;31424;3281595;;3;Толкачев Максим
8;MKA;6;99;30762;3282555;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;98;31369;3291899;;3;Мосесов Хачатур
1;MKA2;7;99;31331;3295082;;3;Сидельников Андрей
4;MKA GIRLS+1;4;101;32493;3302337;;3;Бакирова Рината
7;PHOENIX RT;2;102;31356;3305403;;2;Маркус Михаил
5;RAVE STORM;3;102;30940;3309302;;2;Иван Степанов
2;PATYSSON;1;103;31149;3311347;;2;Рубасов Давид
3;CEAT;5;101;31329;3312924;;3;Толкачев Максим
8;MKA;6;100;30879;3313434;;3;Вяльсов Михаил
6;CRAZYTRAIN;8;99;31211;3323110;;3;Мосесов Хачатур
1;MKA2;7;100;31090;3326172;;3;Сидельников Андрей
4;MKA GIRLS+1;4;102;32011;3334348;;3;Бакирова Рината
7;PHOENIX RT;2;103;31253;3336656;;2;Маркус Михаил
5;RAVE STORM;3;103;31104;3340406;;2;Иван Степанов
2;PATYSSON;1;104;31240;3342587;;2;Рубасов Давид
8;MKA;6;101;30730;3344164;;3;Вяльсов Михаил
3;CEAT;5;102;32005;3344929;LongLight;3;Толкачев Максим
6;CRAZYTRAIN;8;100;31140;3354250;;3;Мосесов Хачатур
1;MKA2;7;101;31104;3357276;;3;Сидельников Андрей
4;MKA GIRLS+1;4;103;31916;3366264;;3;Бакирова Рината
7;PHOENIX RT;2;104;31259;3367915;;2;Маркус Михаил
5;RAVE STORM;3;104;30863;3371269;;2;Иван Степанов
2;PATYSSON;1;105;31247;3373834;;2;Рубасов Давид
8;MKA;6;102;30850;3375014;;3;Вяльсов Михаил
3;CEAT;5;103;31292;3376221;;3;Толкачев Максим
6;CRAZYTRAIN;8;101;31378;3385628;;3;Мосесов Хачатур
1;MKA2;7;102;31180;3388456;;3;Сидельников Андрей
4;MKA GIRLS+1;4;104;31923;3398187;;3;Бакирова Рината
7;PHOENIX RT;2;105;31114;3399029;;2;Маркус Михаил
5;RAVE STORM;3;105;30880;3402149;;2;Иван Степанов
8;MKA;6;103;30958;3405972;;3;Вяльсов Михаил
3;CEAT;5;104;31291;3407512;;3;Толкачев Максим
6;CRAZYTRAIN;8;102;31379;3417007;;3;Мосесов Хачатур
1;MKA2;7;103;31201;3419657;;3;Сидельников Андрей
4;MKA GIRLS+1;4;105;31712;3429899;;3;Бакирова Рината
5;RAVE STORM;1;106;30914;3433063;;2;Иван Степанов
8;MKA;6;104;30836;3436808;;3;Вяльсов Михаил
3;CEAT;5;105;31205;3438717;;3;Толкачев Максим
2;PATYSSON;2;106;66146;3439980;PitUser;2;Рубасов Давид
6;CRAZYTRAIN;8;103;31187;3448194;;3;Мосесов Хачатур
1;MKA2;7;104;31334;3450991;;3;Сидельников Андрей
4;MKA GIRLS+1;3;106;31832;3461731;;3;Бакирова Рината
5;RAVE STORM;1;107;30998;3464061;;2;Иван Степанов
8;MKA;6;105;30885;3467693;;3;Вяльсов Михаил
3;CEAT;4;106;31331;3470048;;3;Толкачев Максим
2;PATYSSON;2;107;32092;3472072;;3;Мальцева Маргарита
7;PHOENIX RT;5;106;75673;3474702;PitUser;2;Маркус Михаил
6;CRAZYTRAIN;8;104;31257;3479451;;3;Мосесов Хачатур
